WRN 2026-05-08T21:55:32.796 ui.88977   tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-05-08T21:55:32.796 ui.88977   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-05-08T21:55:32.796 ui.88977   tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-05-08T21:55:32.797 ui.88977   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-05-08T21:55:32.797 ui.88977   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-05-08T21:57:37.753 ui.89651   tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-05-08T21:57:37.753 ui.89651   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-05-08T21:57:37.753 ui.89651   tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-05-08T21:57:37.753 ui.89651   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-05-08T21:57:37.753 ui.89651   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-05-08T21:57:47.328 ui.89666   tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-05-08T21:57:47.328 ui.89666   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-05-08T21:57:47.328 ui.89666   tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-05-08T21:57:47.328 ui.89666   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-05-08T21:57:47.328 ui.89666   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-05-08T21:58:50.751 ui.89713   tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-05-08T21:58:50.751 ui.89713   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-05-08T21:58:50.751 ui.89713   tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-05-08T21:58:50.751 ui.89713   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-05-08T21:58:50.751 ui.89713   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-05-08T23:56:22.368 ui.95619   tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-05-08T23:56:22.368 ui.95619   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-05-08T23:56:22.368 ui.95619   tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-05-08T23:56:22.368 ui.95619   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-05-08T23:56:22.369 ui.95619   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-05-12T21:49:30.544 ui.3672    tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-05-12T21:49:30.544 ui.3672    tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-05-12T21:49:30.544 ui.3672    tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-05-12T21:49:30.544 ui.3672    tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-05-12T21:49:30.544 ui.3672    tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
